 RODS report3 created at 13:27:47 on 29-03-2017,,,,,,,,,,,
574,Euston                        ,Early       ,NR      ,1061,853,128,72,8,0,0,0
574,Euston                        ,Early       ,All     ,1343,1054,151,126,12,0,0,0
574,Euston                        ,AM peak     ,NR      ,11821,9829,1357,488,107,41,0,0
574,Euston                        ,AM peak     ,All     ,16105,12393,2190,1169,305,45,2,0
574,Euston                        ,Midday      ,NR      ,11214,8499,1743,716,71,55,131,0
574,Euston                        ,Midday      ,All     ,18573,13227,3147,1718,234,116,131,0
574,Euston                        ,PM Peak     ,NR      ,6197,3884,969,918,296,94,38,0
574,Euston                        ,PM Peak     ,All     ,16218,8409,3096,3324,1076,234,80,0
574,Euston                        ,Evening     ,NR      ,3348,1917,829,479,98,26,0,0
574,Euston                        ,Evening     ,All     ,8918,4684,2001,1639,373,221,0,0
574,Euston                        ,Late        ,NR      ,787,495,109,152,30,0,0,0
574,Euston                        ,Late        ,All     ,2638,1291,627,513,173,35,0,0
575,Euston Square                 ,Early       ,NR      ,216,203,12,0,0,0,0,0
575,Euston Square                 ,Early       ,All     ,301,255,44,0,2,0,0,0
575,Euston Square                 ,AM peak     ,NR      ,3729,3372,313,20,0,0,24,0
575,Euston Square                 ,AM peak     ,All     ,5152,4354,559,20,92,89,37,0
575,Euston Square                 ,Midday      ,NR      ,1896,1515,256,6,13,105,1,0
575,Euston Square                 ,Midday      ,All     ,5837,3262,1616,411,105,324,111,8
575,Euston Square                 ,PM Peak     ,NR      ,493,391,75,5,3,0,20,0
575,Euston Square                 ,PM Peak     ,All     ,8635,4603,1337,491,589,565,657,392
575,Euston Square                 ,Evening     ,NR      ,110,109,1,0,0,0,0,0
575,Euston Square                 ,Evening     ,All     ,3667,1568,1029,200,310,389,138,34
575,Euston Square                 ,Late        ,NR      ,22,7,15,0,0,0,0,0
575,Euston Square                 ,Late        ,All     ,799,258,269,53,29,120,61,10
577,Farringdon                    ,Early       ,NR      ,373,306,55,0,0,6,7,0
577,Farringdon                    ,Early       ,All     ,472,343,82,10,3,6,22,6
577,Farringdon                    ,AM peak     ,NR      ,5174,4668,321,61,28,55,41,0
577,Farringdon                    ,AM peak     ,All     ,6091,5212,429,173,101,73,63,39
577,Farringdon                    ,Midday      ,NR      ,710,639,28,21,6,1,0,15
577,Farringdon                    ,Midday      ,All     ,5468,3253,1027,224,202,273,435,53
577,Farringdon                    ,PM Peak     ,NR      ,820,489,195,61,38,3,29,5
577,Farringdon                    ,PM Peak     ,All     ,16069,7971,3671,2071,1165,508,352,332
577,Farringdon                    ,Evening     ,NR      ,151,54,78,0,0,5,14,0
577,Farringdon                    ,Evening     ,All     ,4883,1627,2058,560,207,278,116,37
577,Farringdon                    ,Late        ,NR      ,42,36,0,0,0,6,0,0
577,Farringdon                    ,Late        ,All     ,1495,632,343,281,48,167,13,10
579,Finchley Road                 ,Early       ,NR      ,6,0,1,0,2,0,3,0
579,Finchley Road                 ,Early       ,All     ,452,256,95,5,40,21,22,13
579,Finchley Road                 ,AM peak     ,NR      ,126,0,6,13,65,0,40,2
579,Finchley Road                 ,AM peak     ,All     ,5147,3621,808,36,329,151,177,27
579,Finchley Road                 ,Midday      ,NR      ,28,7,0,0,21,0,0,0
579,Finchley Road                 ,Midday      ,All     ,4025,2265,889,87,359,255,162,7
579,Finchley Road                 ,PM Peak     ,NR      ,109,14,9,0,35,45,0,5
579,Finchley Road                 ,PM Peak     ,All     ,4106,1375,971,365,694,412,227,62
579,Finchley Road                 ,Evening     ,NR      ,88,20,0,0,3,44,22,0
579,Finchley Road                 ,Evening     ,All     ,1764,444,526,59,301,223,105,107
579,Finchley Road                 ,Late        ,NR      ,7,0,0,0,7,0,0,0
579,Finchley Road                 ,Late        ,All     ,651,74,299,37,148,76,16,0
580,Finsbury Park                 ,Early       ,NR      ,1159,940,51,146,23,0,0,0
580,Finsbury Park                 ,Early       ,All     ,3236,2397,319,368,150,1,0,1
580,Finsbury Park                 ,AM peak     ,NR      ,6234,5123,631,398,48,0,33,0
580,Finsbury Park                 ,AM peak     ,All     ,21669,16500,2673,2049,268,93,80,5
580,Finsbury Park                 ,Midday      ,NR      ,2280,1880,300,92,7,0,0,0
580,Finsbury Park                 ,Midday      ,All     ,10173,5632,2108,1936,305,97,93,0
580,Finsbury Park                 ,PM Peak     ,NR      ,1460,840,143,369,76,33,0,0
580,Finsbury Park                 ,PM Peak     ,All     ,5813,2932,1025,1365,352,118,22,0
580,Finsbury Park                 ,Evening     ,NR      ,601,259,104,237,0,0,0,0
580,Finsbury Park                 ,Evening     ,All     ,2809,909,850,932,87,32,0,0
580,Finsbury Park                 ,Late        ,NR      ,469,181,91,196,0,0,0,0
580,Finsbury Park                 ,Late        ,All     ,1065,353,332,345,2,33,0,0
589,Greenford                     ,Early       ,All     ,1318,810,395,113,0,0,0,0
589,Greenford                     ,AM peak     ,NR      ,2,0,0,2,0,0,0,0
589,Greenford                     ,AM peak     ,All     ,2967,1733,1033,95,61,43,2,0
589,Greenford                     ,Midday      ,NR      ,85,8,0,0,61,16,0,0
589,Greenford                     ,Midday      ,All     ,1673,714,707,106,61,85,0,0
589,Greenford                     ,PM Peak     ,NR      ,46,31,0,5,0,9,0,0
589,Greenford                     ,PM Peak     ,All     ,1213,451,329,273,99,59,1,0
589,Greenford                     ,Evening     ,NR      ,28,7,0,0,0,21,0,0
589,Greenford                     ,Evening     ,All     ,441,65,199,55,9,75,37,0
589,Greenford                     ,Late        ,All     ,108,24,25,32,0,28,0,0
591,Gunnersbury                   ,Early       ,NR      ,12,0,0,12,0,0,0,0
591,Gunnersbury                   ,Early       ,All     ,365,197,54,19,93,2,0,0
591,Gunnersbury                   ,AM peak     ,NR      ,169,1,94,37,29,0,0,9
591,Gunnersbury                   ,AM peak     ,All     ,2055,933,635,105,331,42,0,9
591,Gunnersbury                   ,Midday      ,NR      ,100,8,19,0,74,0,0,0
591,Gunnersbury                   ,Midday      ,All     ,1125,391,306,87,327,5,0,9
591,Gunnersbury                   ,PM Peak     ,NR      ,92,0,0,0,92,0,0,0
591,Gunnersbury                   ,PM Peak     ,All     ,3493,1201,857,610,744,73,9,0
591,Gunnersbury                   ,Evening     ,NR      ,43,0,0,40,3,0,0,0
591,Gunnersbury                   ,Evening     ,All     ,430,222,78,84,47,0,0,0
591,Gunnersbury                   ,Late        ,NR      ,32,0,1,15,16,0,0,0
591,Gunnersbury                   ,Late        ,All     ,99,3,6,73,18,0,0,0
596,Harlesden                     ,Early       ,NR      ,10,0,2,0,8,0,0,0
596,Harlesden                     ,Early       ,All     ,209,117,66,8,15,4,0,0
596,Harlesden                     ,AM peak     ,NR      ,22,0,19,0,4,0,0,0
596,Harlesden                     ,AM peak     ,All     ,1062,619,382,6,22,33,0,0
596,Harlesden                     ,Midday      ,NR      ,8,0,0,0,8,0,0,0
596,Harlesden                     ,Midday      ,All     ,1205,729,105,105,169,96,0,0
596,Harlesden                     ,PM Peak     ,All     ,1247,634,215,52,260,87,0,0
596,Harlesden                     ,Evening     ,All     ,248,100,62,13,73,0,0,0
596,Harlesden                     ,Late        ,All     ,129,45,12,31,40,0,0,0
597,Harrow & Wealdstone           ,Early       ,NR      ,13,0,1,8,4,0,0,0
597,Harrow & Wealdstone           ,Early       ,All     ,832,605,169,18,39,0,0,0
597,Harrow & Wealdstone           ,AM peak     ,NR      ,496,49,4,224,219,0,0,0
597,Harrow & Wealdstone           ,AM peak     ,All     ,1939,1191,191,286,271,0,0,0
597,Harrow & Wealdstone           ,Midday      ,NR      ,210,77,42,52,40,0,0,0
597,Harrow & Wealdstone           ,Midday      ,All     ,1370,557,493,125,196,0,0,0
597,Harrow & Wealdstone           ,PM Peak     ,NR      ,37,0,0,0,37,0,0,0
597,Harrow & Wealdstone           ,PM Peak     ,All     ,927,293,408,106,110,10,0,0
597,Harrow & Wealdstone           ,Evening     ,All     ,133,44,42,2,46,0,0,0
597,Harrow & Wealdstone           ,Late        ,NR      ,67,0,2,0,65,0,0,0
597,Harrow & Wealdstone           ,Late        ,All     ,257,32,2,41,183,0,0,0
598,Harrow-on-the-Hill            ,Early       ,NR      ,1,0,0,0,0,0,1,0
598,Harrow-on-the-Hill            ,Early       ,All     ,1415,611,358,102,132,0,139,74
598,Harrow-on-the-Hill            ,AM peak     ,NR      ,75,28,16,0,2,23,7,0
598,Harrow-on-the-Hill            ,AM peak     ,All     ,5489,2898,839,318,344,72,829,190
598,Harrow-on-the-Hill            ,Midday      ,NR      ,89,6,0,0,25,0,57,0
598,Harrow-on-the-Hill            ,Midday      ,All     ,4095,1469,495,137,722,459,776,38
598,Harrow-on-the-Hill            ,PM Peak     ,NR      ,419,56,84,14,0,135,130,0
598,Harrow-on-the-Hill            ,PM Peak     ,All     ,3544,773,459,303,694,515,679,121
598,Harrow-on-the-Hill            ,Evening     ,NR      ,267,41,0,0,0,155,6,64
598,Harrow-on-the-Hill            ,Evening     ,All     ,1059,188,125,62,180,242,181,80
598,Harrow-on-the-Hill            ,Late        ,NR      ,50,0,0,0,0,0,1,48
598,Harrow-on-the-Hill            ,Late        ,All     ,317,3,17,4,34,47,70,143
780,Heathrow Terminals 123        ,Early       ,NR      ,28,24,0,0,0,4,0,0
780,Heathrow Terminals 123        ,Early       ,All     ,393,181,94,56,39,12,12,0
780,Heathrow Terminals 123        ,AM peak     ,NR      ,85,77,0,0,0,9,0,0
780,Heathrow Terminals 123        ,AM peak     ,All     ,1818,854,504,189,108,152,11,0
780,Heathrow Terminals 123        ,Midday      ,NR      ,43,25,0,17,0,0,0,0
780,Heathrow Terminals 123        ,Midday      ,All     ,3980,2042,834,488,195,303,118,0
780,Heathrow Terminals 123        ,PM Peak     ,NR      ,29,26,0,0,0,3,0,0
780,Heathrow Terminals 123        ,PM Peak     ,All     ,2253,935,547,324,241,140,66,0
780,Heathrow Terminals 123        ,Evening     ,NR      ,32,3,28,0,0,0,0,0
780,Heathrow Terminals 123        ,Evening     ,All     ,1835,584,374,274,480,123,0,0
780,Heathrow Terminals 123        ,Late        ,All     ,767,157,153,208,108,141,0,0
603,Highbury & Islington          ,Early       ,NR      ,1185,659,447,77,2,0,0,0
603,Highbury & Islington          ,Early       ,All     ,2185,1111,809,136,115,9,6,0
603,Highbury & Islington          ,AM peak     ,NR      ,12231,9061,2034,920,80,21,114,0
603,Highbury & Islington          ,AM peak     ,All     ,21102,14736,3777,1882,439,46,184,37
603,Highbury & Islington          ,Midday      ,NR      ,7854,3176,3044,1191,128,1,314,0
603,Highbury & Islington          ,Midday      ,All     ,14299,7086,3943,2608,164,86,412,0
603,Highbury & Islington          ,PM Peak     ,NR      ,9738,4691,2483,1783,354,105,321,0
603,Highbury & Islington          ,PM Peak     ,All     ,19279,8116,3873,5724,817,412,336,0
603,Highbury & Islington          ,Evening     ,NR      ,3746,1621,580,1393,121,32,0,0
603,Highbury & Islington          ,Evening     ,All     ,7597,2473,1485,3266,305,68,1,0
603,Highbury & Islington          ,Late        ,NR      ,1604,336,480,705,81,3,0,0
603,Highbury & Islington          ,Late        ,All     ,3499,660,1183,1366,286,3,0,0
617,Kensal Green                  ,Early       ,All     ,213,189,15,4,3,3,0,0
617,Kensal Green                  ,AM peak     ,NR      ,9,9,0,0,0,0,0,0
617,Kensal Green                  ,AM peak     ,All     ,1521,1319,111,62,28,1,0,0
617,Kensal Green                  ,Midday      ,NR      ,1,1,0,0,0,0,0,0
617,Kensal Green                  ,Midday      ,All     ,899,540,197,87,73,1,2,0
617,Kensal Green                  ,PM Peak     ,All     ,551,254,135,9,49,102,1,0
617,Kensal Green                  ,Evening     ,All     ,212,175,11,0,25,1,0,0
617,Kensal Green                  ,Late        ,All     ,75,42,10,0,23,0,0,0
619,Kentish Town                  ,Early       ,NR      ,45,9,36,0,0,0,0,0
619,Kentish Town                  ,Early       ,All     ,337,232,59,21,19,6,0,0
619,Kentish Town                  ,AM peak     ,NR      ,793,301,395,22,74,0,0,0
619,Kentish Town                  ,AM peak     ,All     ,3978,2699,754,185,307,33,0,1
619,Kentish Town                  ,Midday      ,NR      ,568,242,129,56,141,0,0,0
619,Kentish Town                  ,Midday      ,All     ,3689,2286,832,277,250,44,0,0
619,Kentish Town                  ,PM Peak     ,NR      ,632,141,60,171,246,13,0,0
619,Kentish Town                  ,PM Peak     ,All     ,4053,2376,791,428,355,95,8,0
619,Kentish Town                  ,Evening     ,NR      ,204,10,91,48,56,0,0,0
619,Kentish Town                  ,Evening     ,All     ,1149,217,615,85,171,61,0,0
619,Kentish Town                  ,Late        ,NR      ,52,0,28,13,11,0,0,0
619,Kentish Town                  ,Late        ,All     ,846,553,155,68,67,4,0,0
620,Kenton                        ,Early       ,All     ,420,123,163,69,57,8,0,0
620,Kenton                        ,AM peak     ,All     ,710,139,270,189,97,15,0,0
620,Kenton                        ,Midday      ,All     ,706,63,77,181,297,88,0,0
620,Kenton                        ,PM Peak     ,All     ,404,93,130,139,35,8,0,0
620,Kenton                        ,Evening     ,All     ,164,62,53,0,50,0,0,0
620,Kenton                        ,Late        ,All     ,43,0,21,0,22,0,0,0
621,Kew Gardens                   ,Early       ,All     ,185,114,51,17,0,2,1,0
621,Kew Gardens                   ,AM peak     ,All     ,1892,1145,350,81,303,12,1,0
621,Kew Gardens                   ,Midday      ,NR      ,58,2,56,0,0,0,0,0
621,Kew Gardens                   ,Midday      ,All     ,1424,686,353,41,270,18,55,0
621,Kew Gardens                   ,PM Peak     ,NR      ,64,48,0,0,16,0,0,0
621,Kew Gardens                   ,PM Peak     ,All     ,1073,497,125,105,305,0,41,0
621,Kew Gardens                   ,Evening     ,All     ,583,236,131,66,151,0,0,0
621,Kew Gardens                   ,Late        ,All     ,91,66,15,6,4,0,0,0
622,Kilburn                       ,Early       ,All     ,872,421,368,13,29,29,12,0
622,Kilburn                       ,AM peak     ,All     ,5479,3850,839,63,350,259,69,50
622,Kilburn                       ,Midday      ,NR      ,64,0,0,0,0,44,20,0
622,Kilburn                       ,Midday      ,All     ,3272,2078,679,242,124,117,20,13
622,Kilburn                       ,PM Peak     ,NR      ,23,0,0,23,0,0,0,0
622,Kilburn                       ,PM Peak     ,All     ,2425,1103,639,218,349,116,0,0
622,Kilburn                       ,Evening     ,NR      ,32,0,0,32,0,0,0,0
622,Kilburn                       ,Evening     ,All     ,923,155,564,97,0,33,74,0
622,Kilburn                       ,Late        ,All     ,312,69,85,29,74,54,0,0
625,King's Cross St. Pancras      ,Early       ,NR      ,2102,1603,279,136,51,9,24,0
625,King's Cross St. Pancras      ,Early       ,All     ,2828,1987,481,208,88,9,40,13
625,King's Cross St. Pancras      ,AM peak     ,NR      ,28754,23604,3278,1232,374,182,84,0
625,King's Cross St. Pancras      ,AM peak     ,All     ,36599,28987,4672,1720,720,283,185,33
625,King's Cross St. Pancras      ,Midday      ,NR      ,26459,20861,2763,1535,629,182,431,58
625,King's Cross St. Pancras      ,Midday      ,All     ,42662,29419,6058,4023,1715,567,796,84
625,King's Cross St. Pancras      ,PM Peak     ,NR      ,13600,8502,3274,763,505,73,108,373
625,King's Cross St. Pancras      ,PM Peak     ,All     ,37760,19670,8847,4649,2430,1035,556,573
625,King's Cross St. Pancras      ,Evening     ,NR      ,7272,3822,2135,835,251,209,21,0
625,King's Cross St. Pancras      ,Evening     ,All     ,18700,8169,6345,2486,829,592,102,176
625,King's Cross St. Pancras      ,Late        ,NR      ,2573,1476,704,298,43,52,0,0
625,King's Cross St. Pancras      ,Late        ,All     ,6885,3014,2430,791,385,188,72,6
629,Lancaster Gate                ,Early       ,NR      ,82,77,5,0,0,0,0,0
629,Lancaster Gate                ,Early       ,All     ,231,166,24,11,19,11,0,0
629,Lancaster Gate                ,AM peak     ,NR      ,1168,1126,41,0,2,0,0,0
629,Lancaster Gate                ,AM peak     ,All     ,4039,3437,423,98,32,19,31,0
629,Lancaster Gate                ,Midday      ,NR      ,214,195,18,0,0,0,0,0
629,Lancaster Gate                ,Midday      ,All     ,3048,2032,385,435,87,109,0,0
629,Lancaster Gate                ,PM Peak     ,NR      ,29,7,21,0,0,0,0,0
629,Lancaster Gate                ,PM Peak     ,All     ,2391,1669,298,186,155,60,23,0
629,Lancaster Gate                ,Evening     ,NR      ,7,0,7,0,0,0,0,0
629,Lancaster Gate                ,Evening     ,All     ,789,450,115,174,50,0,0,0
629,Lancaster Gate                ,Late        ,NR      ,2,0,2,0,0,0,0,0
629,Lancaster Gate                ,Late        ,All     ,391,104,154,56,31,30,16,0
633,Leytonstone                   ,Early       ,All     ,2034,1127,727,93,35,34,18,0
633,Leytonstone                   ,AM peak     ,NR      ,53,0,0,16,27,0,10,0
633,Leytonstone                   ,AM peak     ,All     ,7512,4222,2707,383,81,49,71,0
633,Leytonstone                   ,Midday      ,NR      ,52,13,39,0,0,0,0,0
633,Leytonstone                   ,Midday      ,All     ,4220,1180,2564,166,283,22,4,0
633,Leytonstone                   ,PM Peak     ,NR      ,76,27,50,0,0,0,0,0
633,Leytonstone                   ,PM Peak     ,All     ,2765,914,1387,4,423,15,23,0
633,Leytonstone                   ,Evening     ,NR      ,7,0,7,0,0,0,0,0
633,Leytonstone                   ,Evening     ,All     ,973,441,307,50,136,0,39,0
633,Leytonstone                   ,Late        ,All     ,287,39,140,20,34,0,54,0
634,Liverpool Street              ,Early       ,NR      ,1928,1518,182,88,121,13,5,0
634,Liverpool Street              ,Early       ,All     ,2365,1701,330,115,187,13,20,0
634,Liverpool Street              ,AM peak     ,NR      ,21340,18554,2239,148,231,98,69,0
634,Liverpool Street              ,AM peak     ,All     ,27574,22757,3299,509,583,215,174,36
634,Liverpool Street              ,Midday      ,NR      ,11898,9882,1284,215,216,140,158,4
634,Liverpool Street              ,Midday      ,All     ,28805,20205,5521,1004,1385,400,267,23
634,Liverpool Street              ,PM Peak     ,NR      ,7391,6014,751,206,263,117,40,0
634,Liverpool Street              ,PM Peak     ,All     ,36793,18295,7846,2724,4305,1933,1387,302
634,Liverpool Street              ,Evening     ,NR      ,1697,1201,246,184,17,21,30,0
634,Liverpool Street              ,Evening     ,All     ,13848,6166,3466,1431,1563,501,684,37
634,Liverpool Street              ,Late        ,NR      ,424,303,44,46,31,0,0,0
634,Liverpool Street              ,Late        ,All     ,4336,1607,1237,708,455,235,76,18
635,London Bridge                 ,Early       ,NR      ,2214,995,865,102,195,36,14,5
635,London Bridge                 ,Early       ,All     ,2831,1304,1152,106,206,43,14,5
635,London Bridge                 ,AM peak     ,NR      ,23587,14083,7783,971,452,113,117,69
635,London Bridge                 ,AM peak     ,All     ,29973,17546,10241,1214,596,151,156,69
635,London Bridge                 ,Midday      ,NR      ,11204,7044,2934,1016,104,104,1,0
635,London Bridge                 ,Midday      ,All     ,30108,17753,8840,1929,893,410,284,0
635,London Bridge                 ,PM Peak     ,NR      ,8021,3726,2808,539,464,368,117,0
635,London Bridge                 ,PM Peak     ,All     ,34830,12810,13234,4628,2025,1223,667,242
635,London Bridge                 ,Evening     ,NR      ,2007,729,709,265,188,101,15,0
635,London Bridge                 ,Evening     ,All     ,13662,4001,6421,1942,682,330,229,58
635,London Bridge                 ,Late        ,NR      ,737,124,206,289,49,69,0,0
635,London Bridge                 ,Late        ,All     ,5853,1637,3040,836,173,167,0,0
641,Marylebone                    ,Early       ,NR      ,339,301,29,4,4,0,0,0
641,Marylebone                    ,Early       ,All     ,444,397,36,6,4,0,0,0
641,Marylebone                    ,AM peak     ,NR      ,5129,4744,296,48,40,0,0,0
641,Marylebone                    ,AM peak     ,All     ,6761,6033,481,166,75,5,0,0
641,Marylebone                    ,Midday      ,NR      ,3568,2847,492,139,90,0,0,0
641,Marylebone                    ,Midday      ,All     ,5597,4647,640,212,94,0,0,5
641,Marylebone                    ,PM Peak     ,NR      ,1999,1478,400,95,2,0,25,0
641,Marylebone                    ,PM Peak     ,All     ,4881,3346,1014,310,111,42,58,0
641,Marylebone                    ,Evening     ,NR      ,334,179,135,4,15,0,0,0
641,Marylebone                    ,Evening     ,All     ,1758,1049,549,134,20,6,0,0
641,Marylebone                    ,Late        ,NR      ,154,81,52,13,7,0,0,0
641,Marylebone                    ,Late        ,All     ,573,173,375,13,11,0,0,0
645,Moorgate                      ,Early       ,NR      ,9,8,1,0,0,0,0,0
645,Moorgate                      ,Early       ,All     ,1080,469,219,106,206,35,22,23
645,Moorgate                      ,AM peak     ,NR      ,1834,1656,78,101,0,0,0,0
645,Moorgate                      ,AM peak     ,All     ,15544,8964,3234,1866,970,243,170,97
645,Moorgate                      ,Midday      ,NR      ,1560,1162,210,139,17,31,0,0
645,Moorgate                      ,Midday      ,All     ,8499,3757,2403,1346,759,92,110,32
645,Moorgate                      ,PM Peak     ,NR      ,2525,2019,153,23,282,0,48,0
645,Moorgate                      ,PM Peak     ,All     ,20116,8291,5450,3188,1883,737,368,199
645,Moorgate                      ,Evening     ,NR      ,934,722,90,0,88,33,0,0
645,Moorgate                      ,Evening     ,All     ,6642,3107,1747,730,625,270,139,24
645,Moorgate                      ,Late        ,NR      ,168,124,0,11,34,0,0,0
645,Moorgate                      ,Late        ,All     ,1913,1105,252,200,152,200,0,4
653,North Acton                   ,Early       ,All     ,443,249,27,78,32,56,0,0
653,North Acton                   ,AM peak     ,NR      ,33,8,0,25,0,0,0,0
653,North Acton                   ,AM peak     ,All     ,3009,1945,515,262,53,201,34,0
653,North Acton                   ,Midday      ,NR      ,4,4,0,0,0,0,0,0
653,North Acton                   ,Midday      ,All     ,2477,1253,636,339,87,133,28,0
653,North Acton                   ,PM Peak     ,NR      ,25,0,0,25,0,0,0,0
653,North Acton                   ,PM Peak     ,All     ,3652,912,859,1012,536,230,89,14
653,North Acton                   ,Evening     ,NR      ,21,21,0,0,0,0,0,0
653,North Acton                   ,Evening     ,All     ,955,333,205,280,109,12,17,0
653,North Acton                   ,Late        ,All     ,228,42,21,110,17,38,0,0
659,North Wembley                 ,Early       ,NR      ,16,16,0,0,0,0,0,0
659,North Wembley                 ,Early       ,All     ,354,86,208,27,25,9,0,0
659,North Wembley                 ,AM peak     ,NR      ,8,8,0,0,0,0,0,0
659,North Wembley                 ,AM peak     ,All     ,985,347,366,116,62,73,3,19
659,North Wembley                 ,Midday      ,NR      ,6,6,0,0,0,0,0,0
659,North Wembley                 ,Midday      ,All     ,497,270,109,0,94,24,0,0
659,North Wembley                 ,PM Peak     ,All     ,445,60,326,20,5,34,0,0
659,North Wembley                 ,Evening     ,All     ,153,0,32,8,113,0,0,0
659,North Wembley                 ,Late        ,All     ,27,2,10,4,12,0,0,0
660,Northwick Park                ,Early       ,NR      ,0,0,0,0,0,0,0,0
660,Northwick Park                ,Early       ,All     ,688,449,189,0,3,8,38,0
660,Northwick Park                ,AM peak     ,NR      ,14,1,13,0,0,0,0,0
660,Northwick Park                ,AM peak     ,All     ,2362,1547,434,4,119,58,150,49
660,Northwick Park                ,Midday      ,All     ,1948,899,206,115,303,252,168,5
660,Northwick Park                ,PM Peak     ,NR      ,158,62,6,0,78,0,13,0
660,Northwick Park                ,PM Peak     ,All     ,1923,583,435,177,311,195,164,59
660,Northwick Park                ,Evening     ,All     ,631,126,192,38,85,71,103,16
660,Northwick Park                ,Late        ,All     ,108,31,24,0,53,0,0,0
665,Old Street                    ,Early       ,NR      ,164,145,19,0,0,0,0,0
665,Old Street                    ,Early       ,All     ,563,277,160,81,40,3,2,0
665,Old Street                    ,AM peak     ,NR      ,2344,2069,256,2,17,0,0,0
665,Old Street                    ,AM peak     ,All     ,7174,4922,1356,570,266,52,8,0
665,Old Street                    ,Midday      ,NR      ,733,514,88,89,43,0,0,0
665,Old Street                    ,Midday      ,All     ,10207,6376,1996,952,477,297,110,0
665,Old Street                    ,PM Peak     ,NR      ,748,640,65,44,0,0,0,0
665,Old Street                    ,PM Peak     ,All     ,15123,8543,2802,2334,1116,307,21,0
665,Old Street                    ,Evening     ,NR      ,66,55,11,0,0,0,0,0
665,Old Street                    ,Evening     ,All     ,6237,2129,2117,949,826,87,131,0
665,Old Street                    ,Late        ,All     ,3170,789,1178,601,519,65,18,0
670,Paddington                    ,Early       ,NR      ,1446,1045,376,13,12,0,0,0
670,Paddington                    ,Early       ,All     ,1749,1209,494,13,33,0,0,0
670,Paddington                    ,AM peak     ,NR      ,19434,15511,3456,359,71,35,2,0
670,Paddington                    ,AM peak     ,All     ,24228,18783,4614,483,184,42,121,0
670,Paddington                    ,Midday      ,NR      ,16019,12257,2914,586,154,50,56,1
670,Paddington                    ,Midday      ,All     ,23571,16458,5210,937,531,289,128,17
670,Paddington                    ,PM Peak     ,NR      ,9137,5778,2283,941,67,46,5,16
