NLC,Station,timePeriod,Total,Commuter,Leisure,Tourist,Notknown
500,ActonTown,Early,283,0,0,0,283
500,ActonTown,AMpeak,2024,1486,71,44,422
500,ActonTown,Midday,1828,991,560,42,235
500,ActonTown,PMPeak,2770,1874,718,27,151
500,ActonTown,Evening,1749,1131,570,2,46
500,ActonTown,Late,950,228,366,0,357
500,ActonTown,Totalday,9604,5710,2285,115,1495
502,Aldgate,Early,359,2,0,0,357
502,Aldgate,AMpeak,6207,5264,139,94,709
502,Aldgate,Midday,2975,1845,447,306,377
502,Aldgate,PMPeak,2780,1642,533,77,529
502,Aldgate,Evening,994,494,199,12,289
502,Aldgate,Late,290,136,111,0,43
502,Aldgate,Totalday,13604,9383,1429,489,2304
503,AldgateEast,Early,428,0,0,0,428
503,AldgateEast,AMpeak,7579,6858,41,77,604
503,AldgateEast,Midday,5466,3157,1094,454,762
503,AldgateEast,PMPeak,4012,1842,1055,55,1061
503,AldgateEast,Evening,2155,1077,673,162,244
503,AldgateEast,Late,1054,248,431,20,356
503,AldgateEast,Totalday,20696,13182,3292,767,3454
505,Alperton,Early,122,0,0,0,122
505,Alperton,AMpeak,855,548,119,0,188
505,Alperton,Midday,987,492,389,63,42
505,Alperton,PMPeak,1857,1235,299,183,140
505,Alperton,Evening,783,418,343,0,21
505,Alperton,Late,377,36,300,0,42
505,Alperton,Totalday,4981,2729,1451,246,555
506,Amersham,Early,50,0,0,0,50
506,Amersham,AMpeak,364,112,41,9,202
506,Amersham,Midday,448,158,254,2,33
506,Amersham,PMPeak,614,416,194,0,4
506,Amersham,Evening,466,404,61,0,0
506,Amersham,Late,432,28,212,0,192
506,Amersham,Totalday,2374,1118,763,12,481
507,Angel,Early,426,0,0,0,426
507,Angel,AMpeak,10128,8598,593,159,777
507,Angel,Midday,8891,4732,3385,220,553
507,Angel,PMPeak,7102,3206,3169,137,590
507,Angel,Evening,3877,1924,1491,43,420
507,Angel,Late,1357,261,472,30,594
507,Angel,Totalday,31781,18721,9110,589,3361
508,Archway,Early,196,0,0,0,196
508,Archway,AMpeak,2618,1892,172,85,469
508,Archway,Midday,3361,1680,1362,121,198
508,Archway,PMPeak,4787,3440,1149,41,157
508,Archway,Evening,3175,1801,1216,17,140
508,Archway,Late,1672,462,726,24,461
508,Archway,Totalday,15809,9275,4625,289,1620
509,ArnosGrove,Early,92,0,0,0,92
509,ArnosGrove,AMpeak,872,490,104,63,215
509,ArnosGrove,Midday,1421,464,690,58,208
509,ArnosGrove,PMPeak,2420,1670,478,11,260
509,ArnosGrove,Evening,1480,1122,314,35,9
509,ArnosGrove,Late,884,354,338,0,192
509,ArnosGrove,Totalday,7168,4100,1924,168,976
510,Arsenal,Early,24,0,0,0,24
510,Arsenal,AMpeak,445,400,0,7,38
510,Arsenal,Midday,1033,431,289,80,233
510,Arsenal,PMPeak,1337,682,408,30,217
510,Arsenal,Evening,1085,439,476,45,125
510,Arsenal,Late,558,68,380,72,39
510,Arsenal,Totalday,4483,2021,1553,233,676
511,BakerStreet,Early,1019,1,0,0,1018
511,BakerStreet,AMpeak,16583,13887,846,238,1613
511,BakerStreet,Midday,15236,7610,4058,1691,1878
511,BakerStreet,PMPeak,9390,4343,2546,534,1967
511,BakerStreet,Evening,3398,1824,1240,12,323
511,BakerStreet,Late,1381,260,535,36,550
511,BakerStreet,Totalday,47009,27925,9224,2510,7349
512,Balham,Early,313,0,0,0,313
512,Balham,AMpeak,3033,2515,269,0,249
512,Balham,Midday,3924,2388,1357,80,100
512,Balham,PMPeak,8616,6222,1921,303,169
512,Balham,Evening,5511,3553,1473,35,450
512,Balham,Late,2540,780,1038,0,722
512,Balham,Totalday,23937,15458,6058,418,2002
513,Bank/Monument,Early,6097,21,2,0,6074
513,Bank/Monument,AMpeak,71393,61305,2043,2481,5564
513,Bank/Monument,Midday,30132,16214,8936,2539,2442
513,Bank/Monument,PMPeak,18552,9161,5403,1942,2047
513,Bank/Monument,Evening,5758,3009,2034,170,545
513,Bank/Monument,Late,2475,659,568,169,1078
513,Bank/Monument,Totalday,134408,90369,18986,7302,17750
501,Barbican,Early,645,0,0,0,645
501,Barbican,AMpeak,10349,8169,474,226,1480
501,Barbican,Midday,5593,3305,1745,305,238
501,Barbican,PMPeak,2834,863,1318,66,587
501,Barbican,Evening,1089,348,456,68,217
501,Barbican,Late,352,50,104,0,198
501,Barbican,Totalday,20861,12735,4096,665,3365
514,Barking,Early,928,7,0,0,921
514,Barking,AMpeak,5149,4051,477,110,510
514,Barking,Midday,5242,1857,1199,109,2078
514,Barking,PMPeak,9410,4230,698,237,4245
514,Barking,Evening,4361,2205,788,65,1303
514,Barking,Late,1645,413,244,8,981
514,Barking,Totalday,26736,12762,3407,529,10038
515,Barkingside,Early,23,0,0,0,23
515,Barkingside,AMpeak,360,173,137,0,50
515,Barkingside,Midday,381,292,87,2,1
515,Barkingside,PMPeak,1212,1157,37,0,18
515,Barkingside,Evening,426,260,101,0,65
515,Barkingside,Late,165,139,9,0,17
515,Barkingside,Totalday,2569,2021,372,2,175
516,BaronsCourt,Early,113,0,0,0,113
516,BaronsCourt,AMpeak,3626,3219,54,0,353
516,BaronsCourt,Midday,2254,1538,597,38,81
516,BaronsCourt,PMPeak,2517,1635,767,63,53
516,BaronsCourt,Evening,1864,1047,581,39,196
516,BaronsCourt,Late,911,177,520,0,213
516,BaronsCourt,Totalday,11284,7616,2519,141,1009
517,Bayswater,Early,62,0,0,0,62
517,Bayswater,AMpeak,734,700,22,4,7
517,Bayswater,Midday,1805,575,777,330,122
517,Bayswater,PMPeak,1762,671,462,328,302
517,Bayswater,Evening,1219,457,347,222,193
517,Bayswater,Late,584,81,140,74,290
517,Bayswater,Totalday,6166,2484,1749,957,975
518,Becontree,Early,80,0,0,0,80
518,Becontree,AMpeak,464,355,50,0,59
518,Becontree,Midday,1151,371,326,171,284
518,Becontree,PMPeak,2521,1110,156,79,1176
518,Becontree,Evening,1147,275,119,159,595
518,Becontree,Late,469,42,25,0,403
518,Becontree,Totalday,5833,2152,676,409,2596
519,BelsizePark,Early,147,0,0,0,147
519,BelsizePark,AMpeak,2625,1698,443,214,270
519,BelsizePark,Midday,2805,1183,1310,192,120
519,BelsizePark,PMPeak,2091,1031,870,58,132
519,BelsizePark,Evening,1661,784,844,25,8
519,BelsizePark,Late,723,138,285,24,275
519,BelsizePark,Totalday,10051,4834,3753,512,952
787,Bermondsey,Early,695,166,0,0,529
787,Bermondsey,AMpeak,3684,2538,64,101,982
787,Bermondsey,Midday,2953,1198,1140,3,613
787,Bermondsey,PMPeak,4676,2593,947,159,977
787,Bermondsey,Evening,3218,1903,656,142,517
787,Bermondsey,Late,1599,559,652,9,379
787,Bermondsey,Totalday,16825,8956,3457,415,3996
520,BethnalGreen,Early,618,0,0,0,618
520,BethnalGreen,AMpeak,4304,3328,229,71,675
520,BethnalGreen,Midday,5354,1885,2229,160,1080
520,BethnalGreen,PMPeak,6262,2710,1254,583,1716
520,BethnalGreen,Evening,4861,2103,1317,216,1225
520,BethnalGreen,Late,2532,499,1109,0,924
520,BethnalGreen,Totalday,23931,10526,6138,1029,6238
521,Blackfriars,Early,748,1,0,0,748
521,Blackfriars,AMpeak,13557,12038,301,327,890
521,Blackfriars,Midday,5479,3128,1376,623,352
521,Blackfriars,PMPeak,4432,2398,607,122,1305
521,Blackfriars,Evening,1105,788,168,6,144
521,Blackfriars,Late,318,69,152,0,97
521,Blackfriars,Totalday,25639,18422,2604,1079,3535
522,BlackhorseRoad,Early,84,0,0,0,84
522,BlackhorseRoad,AMpeak,1174,945,54,0,174
522,BlackhorseRoad,Midday,1727,738,702,63,223
522,BlackhorseRoad,PMPeak,5353,3845,372,312,824
522,BlackhorseRoad,Evening,3068,1813,670,9,576
522,BlackhorseRoad,Late,1405,424,406,0,576
522,BlackhorseRoad,Totalday,12811,7765,2204,385,2457
524,BondStreet,Early,1783,15,0,4,1764
524,BondStreet,AMpeak,21109,16970,1613,606,1919
524,BondStreet,Midday,23484,7403,12891,1871,1319
524,BondStreet,PMPeak,11896,2991,6717,569,1620
524,BondStreet,Evening,3468,1333,1589,127,419
524,BondStreet,Late,687,287,186,58,156
524,BondStreet,Totalday,62427,28999,22995,3235,7197
525,Borough,Early,152,0,0,0,151
525,Borough,AMpeak,3567,3043,212,28,285
525,Borough,Midday,2505,1131,982,281,112
525,Borough,PMPeak,1566,844,342,87,293
525,Borough,Evening,980,666,285,23,6
525,Borough,Late,518,70,265,9,174
525,Borough,Totalday,9287,5754,2085,427,1021
526,BostonManor,Early,73,0,0,0,73
526,BostonManor,AMpeak,810,520,86,0,204
526,BostonManor,Midday,704,217,222,161,103
526,BostonManor,PMPeak,1013,737,207,53,16
526,BostonManor,Evening,636,366,186,0,85
526,BostonManor,Late,330,58,90,19,163
526,BostonManor,Totalday,3567,1898,790,234,645
527,BoundsGreen,Early,73,0,0,0,73
527,BoundsGreen,AMpeak,923,733,27,0,163
527,BoundsGreen,Midday,1676,994,645,29,7
527,BoundsGreen,PMPeak,3684,2365,703,20,596
527,BoundsGreen,Evening,2392,1462,737,36,157
527,BoundsGreen,Late,1264,333,723,0,208
527,BoundsGreen,Totalday,10012,5886,2835,85,1205
528,BowRoad,Early,169,0,0,0,169
528,BowRoad,AMpeak,1128,643,307,23,155
528,BowRoad,Midday,1561,954,523,58,27
528,BowRoad,PMPeak,2727,1605,391,125,606
528,BowRoad,Evening,2130,1206,541,82,301
528,BowRoad,Late,1308,58,570,0,680
528,BowRoad,Totalday,9023,4466,2331,287,1938
529,BrentCross,Early,57,0,0,0,57
529,BrentCross,AMpeak,491,294,13,24,160
529,BrentCross,Midday,860,269,517,0,74
529,BrentCross,PMPeak,1450,1085,114,91,160
529,BrentCross,Evening,652,418,208,24,2
529,BrentCross,Late,337,104,122,0,110
529,BrentCross,Totalday,3848,2169,975,139,564
778,Brixton,Early,522,4,0,0,518
778,Brixton,AMpeak,4456,3357,279,107,712
778,Brixton,Midday,8201,4054,2632,440,1075
778,Brixton,PMPeak,17702,9410,3582,802,3909
778,Brixton,Evening,13687,7986,3102,25,2574
778,Brixton,Late,6030,1294,2009,30,2697
778,Brixton,Totalday,50599,26105,11604,1404,11485
530,Bromley-by-Bow,Early,230,0,0,0,230
530,Bromley-by-Bow,AMpeak,1270,965,51,0,254
530,Bromley-by-Bow,Midday,1102,629,407,50,16
530,Bromley-by-Bow,PMPeak,1772,828,254,0,690
530,Bromley-by-Bow,Evening,1255,448,332,90,385
530,Bromley-by-Bow,Late,578,15,177,0,385
530,Bromley-by-Bow,Totalday,6206,2884,1221,140,1961
531,BuckhurstHill,Early,28,0,0,0,28
531,BuckhurstHill,AMpeak,280,233,34,0,13
531,BuckhurstHill,Midday,589,243,280,1,65
531,BuckhurstHill,PMPeak,1536,1338,153,9,36
531,BuckhurstHill,Evening,805,555,190,38,22
531,BuckhurstHill,Late,283,143,114,0,26
531,BuckhurstHill,Totalday,3521,2512,771,48,190
532,BurntOak,Early,67,0,0,0,67
532,BurntOak,AMpeak,729,611,22,0,96
532,BurntOak,Midday,1395,620,634,5,136
532,BurntOak,PMPeak,3256,2753,201,0,302
532,BurntOak,Evening,1375,825,291,33,227
532,BurntOak,Late,499,273,39,0,188
532,BurntOak,Totalday,7321,5081,1187,38,1015
534,CaledonianRoad,Early,241,0,0,0,241
534,CaledonianRoad,AMpeak,1956,1729,21,32,173
534,CaledonianRoad,Midday,1857,1132,579,4,142
534,CaledonianRoad,PMPeak,2265,1136,841,0,288
534,CaledonianRoad,Evening,1741,568,645,0,528
534,CaledonianRoad,Late,850,235,354,0,262
534,CaledonianRoad,Totalday,8910,4800,2441,36,1633
535,CamdenTown,Early,520,5,0,0,516
535,CamdenTown,AMpeak,7427,6484,193,179,571
535,CamdenTown,Midday,11333,4261,4724,1205,1143
535,CamdenTown,PMPeak,6868,2072,2935,126,1734
535,CamdenTown,Evening,3957,1899,1621,19,418
535,CamdenTown,Late,1573,351,736,11,475
535,CamdenTown,Totalday,31678,15071,10210,1541,4857
788,CanadaWater,Early,1444,1,0,0,1442
788,CanadaWater,AMpeak,14575,11219,752,114,2491
788,CanadaWater,Midday,14778,6567,4868,1100,2243
788,CanadaWater,PMPeak,23228,12964,5543,676,4045
788,CanadaWater,Evening,14415,9628,3156,297,1334
788,CanadaWater,Late,5864,2289,2129,12,1433
788,CanadaWater,Totalday,74303,42668,16448,2200,12988
852,CanaryWharf,Early,5204,12,3,0,5189
852,CanaryWharf,AMpeak,58672,51558,1367,907,4840
852,CanaryWharf,Midday,16798,8895,4818,753,2333
852,CanaryWharf,PMPeak,10898,6579,2823,449,1047
852,CanaryWharf,Evening,5583,2689,2311,50,533
852,CanaryWharf,Late,3006,776,903,105,1222
852,CanaryWharf,Totalday,100162,70508,12226,2263,15165
884,CanningTown,Early,2793,5,2,0,2786
884,CanningTown,AMpeak,10796,7487,805,247,2257
884,CanningTown,Midday,11966,5857,4081,819,1208
884,CanningTown,PMPeak,14020,7605,3153,105,3158
884,CanningTown,Evening,6899,4610,1428,260,601
884,CanningTown,Late,2816,1180,387,89,1160
884,CanningTown,Totalday,49290,26743,9856,1520,11171
536,CannonStreet,Early,397,0,0,0,397
536,CannonStreet,AMpeak,5001,4069,346,32,554
536,CannonStreet,Midday,2793,1403,982,17,392
536,CannonStreet,PMPeak,4250,3030,962,143,115
536,CannonStreet,Evening,508,338,29,127,13
536,CannonStreet,Late,641,629,12,0,0
536,CannonStreet,Totalday,13590,9469,2332,318,1471
537,CanonsPark,Early,48,0,0,0,48
537,CanonsPark,AMpeak,478,456,0,21,1
537,CanonsPark,Midday,724,211,251,0,262
537,CanonsPark,PMPeak,1986,1358,65,69,494
537,CanonsPark,Evening,1118,733,262,85,38
537,CanonsPark,Late,389,118,48,0,223
537,CanonsPark,Totalday,4742,2877,626,175,1065
539,Chalfont&Latimer,Early,6,0,0,0,6
539,Chalfont&Latimer,AMpeak,40,38,0,0,3
539,Chalfont&Latimer,Midday,159,60,70,15,14
539,Chalfont&Latimer,PMPeak,549,418,90,0,41
539,Chalfont&Latimer,Evening,431,350,56,0,25
539,Chalfont&Latimer,Late,242,43,69,0,129
539,Chalfont&Latimer,Totalday,1428,910,285,15,218
540,ChalkFarm,Early,73,0,0,0,73
540,ChalkFarm,AMpeak,1550,1364,26,25,135
540,ChalkFarm,Midday,1764,972,681,41,69
540,ChalkFarm,PMPeak,1965,880,715,86,285
540,ChalkFarm,Evening,1684,674,706,197,106
540,ChalkFarm,Late,643,42,361,9,232
540,ChalkFarm,Totalday,7680,3933,2488,358,901
541,ChanceryLane,Early,931,1,0,0,929
541,ChanceryLane,AMpeak,17975,16121,416,251,1187
541,ChanceryLane,Midday,10325,6447,3028,366,484
541,ChanceryLane,PMPeak,3501,1769,1473,56,203
541,ChanceryLane,Evening,969,379,480,0,110
541,ChanceryLane,Late,212,73,68,0,71
541,ChanceryLane,Totalday,33913,24790,5465,673,2984
718,CharingCross,Early,353,0,0,0,353
718,CharingCross,AMpeak,5239,4508,182,136,413
718,CharingCross,Midday,7281,2424,3382,1133,343
718,CharingCross,PMPeak,9911,4647,4004,643,617
718,CharingCross,Evening,3495,2047,1240,63,145
718,CharingCross,Late,1342,576,424,6,336
718,CharingCross,Totalday,27620,14202,9230,1981,2207
543,Chesham,Early,6,0,0,0,6
543,Chesham,AMpeak,272,220,0,0,51
543,Chesham,Midday,191,70,117,1,3
543,Chesham,PMPeak,764,638,103,0,23
543,Chesham,Evening,437,430,2,4,1
543,Chesham,Late,165,15,70,0,79
543,Chesham,Totalday,1834,1374,292,5,164
544,Chigwell,Early,0,0,0,0,0
544,Chigwell,AMpeak,169,146,0,0,23
544,Chigwell,Midday,103,70,30,0,3
544,Chigwell,PMPeak,317,197,96,0,24
544,Chigwell,Evening,195,93,17,0,84
544,Chigwell,Late,8,0,8,0,0
544,Chigwell,Totalday,792,506,151,0,134
545,ChiswickPark,Early,44,0,0,0,44
545,ChiswickPark,AMpeak,1243,1048,33,0,162
545,ChiswickPark,Midday,733,413,241,42,37
545,ChiswickPark,PMPeak,1090,797,193,35,65
545,ChiswickPark,Evening,666,483,131,0,51
545,ChiswickPark,Late,276,52,84,0,141
545,ChiswickPark,Totalday,4052,2793,682,77,500
546,Chorleywood,Early,0,0,0,0,0
546,Chorleywood,AMpeak,36,26,0,0,10
546,Chorleywood,Midday,230,91,139,0,0
546,Chorleywood,PMPeak,334,257,68,0,9
546,Chorleywood,Evening,393,282,64,0,47
546,Chorleywood,Late,252,45,33,0,174
546,Chorleywood,Totalday,1246,701,305,0,240
547,ClaphamCommon,Early,190,0,0,0,190
547,ClaphamCommon,AMpeak,2275,1619,261,25,369
547,ClaphamCommon,Midday,2771,1109,1130,171,361
547,ClaphamCommon,PMPeak,5363,3502,1217,102,542
547,ClaphamCommon,Evening,3905,2312,1373,36,185
547,ClaphamCommon,Late,1867,573,636,71,588
547,ClaphamCommon,Totalday,16371,9114,4616,406,2235
548,ClaphamNorth,Early,154,5,0,0,150
548,ClaphamNorth,AMpeak,1255,1019,35,23,177
548,ClaphamNorth,Midday,1679,466,1024,9,180
548,ClaphamNorth,PMPeak,3854,2707,710,239,198
548,ClaphamNorth,Evening,3141,1454,1212,35,441
548,ClaphamNorth,Late,1484,370,493,22,599
548,ClaphamNorth,Totalday,11566,6021,3473,328,1744
549,ClaphamSouth,Early,117,0,0,0,117
549,ClaphamSouth,AMpeak,1795,1213,142,0,439
549,ClaphamSouth,Midday,2041,860,888,151,142
549,ClaphamSouth,PMPeak,4712,3284,1036,71,320
549,ClaphamSouth,Evening,4005,2570,887,159,389
549,ClaphamSouth,Late,1693,433,625,3,632
549,ClaphamSouth,Totalday,14362,8361,3579,383,2039
550,Cockfosters,Early,28,0,0,0,28
550,Cockfosters,AMpeak,392,236,23,0,133
550,Cockfosters,Midday,660,157,267,26,210
550,Cockfosters,PMPeak,1133,573,169,133,259
550,Cockfosters,Evening,576,365,135,6,71
550,Cockfosters,Late,351,40,161,0,150
550,Cockfosters,Totalday,3140,1371,754,165,850
551,Colindale,Early,162,0,0,0,162
551,Colindale,AMpeak,1812,1109,85,0,616
551,Colindale,Midday,1649,641,658,89,261
551,Colindale,PMPeak,3547,2250,438,218,641
551,Colindale,Evening,1938,1103,321,0,514
551,Colindale,Late,952,236,83,2,631
551,Colindale,Totalday,10059,5339,1585,310,2825
552,ColliersWood,Early,168,0,0,0,168
552,ColliersWood,AMpeak,953,647,60,0,245
552,ColliersWood,Midday,1826,587,971,0,268
552,ColliersWood,PMPeak,3974,2502,577,0,895
552,ColliersWood,Evening,2286,1397,516,1,371
552,ColliersWood,Late,1157,490,338,0,330
552,ColliersWood,Totalday,10364,5624,2462,1,2277
553,CoventGarden,Early,322,0,0,0,322
553,CoventGarden,AMpeak,4346,3653,278,99,315
553,CoventGarden,Midday,9605,2777,4968,1389,471
553,CoventGarden,PMPeak,6496,755,4664,565,512
553,CoventGarden,Evening,2346,213,1483,213,437
553,CoventGarden,Late,414,22,173,52,167
553,CoventGarden,Totalday,23530,7420,11567,2319,2224
554,Croxley,Early,20,0,0,0,20
554,Croxley,AMpeak,334,217,37,0,80
554,Croxley,Midday,191,129,51,0,12
554,Croxley,PMPeak,668,504,156,0,9
554,Croxley,Evening,459,362,47,10,40
554,Croxley,Late,45,0,35,1,8
554,Croxley,Totalday,1718,1212,326,12,168
555,DagenhamEast,Early,58,0,0,0,58
555,DagenhamEast,AMpeak,648,490,56,0,102
555,DagenhamEast,Midday,856,421,368,21,46
555,DagenhamEast,PMPeak,2012,1742,211,0,58
555,DagenhamEast,Evening,967,378,253,0,337
555,DagenhamEast,Late,311,160,34,0,117
555,DagenhamEast,Totalday,4853,3192,923,21,718
556,DagenhamHeathway,Early,125,0,0,0,125
556,DagenhamHeathway,AMpeak,1187,669,218,0,300
556,DagenhamHeathway,Midday,2206,796,868,20,521
556,DagenhamHeathway,PMPeak,3722,1582,252,55,1834
556,DagenhamHeathway,Evening,1912,634,200,145,933
556,DagenhamHeathway,Late,597,169,25,0,403
556,DagenhamHeathway,Totalday,9748,3850,1563,219,4116
557,Debden,Early,78,0,0,0,78
557,Debden,AMpeak,999,837,9,0,153
557,Debden,Midday,801,559,221,0,21
557,Debden,PMPeak,1472,1057,285,0,129
557,Debden,Evening,561,362,135,0,64
557,Debden,Late,27,27,0,0,0
557,Debden,Totalday,3938,2843,651,0,445
558,DollisHill,Early,118,0,0,0,118
558,DollisHill,AMpeak,1030,821,37,0,172
558,DollisHill,Midday,1267,519,599,0,149
558,DollisHill,PMPeak,2113,1534,421,88,71
558,DollisHill,Evening,1151,822,285,18,27
558,DollisHill,Late,666,259,330,0,78
558,DollisHill,Totalday,6346,3954,1671,105,615
560,EalingBroadway,Early,541,2,0,0,539
560,EalingBroadway,AMpeak,4672,3143,198,38,1293
560,EalingBroadway,Midday,5907,2767,2106,342,691
560,EalingBroadway,PMPeak,14484,9856,2689,1225,714
560,EalingBroadway,Evening,6510,4255,1623,239,392
560,EalingBroadway,Late,2521,799,955,41,727
560,EalingBroadway,Totalday,34635,20822,7571,1885,4357
561,EalingCommon,Early,82,4,0,0,78
561,EalingCommon,AMpeak,977,782,88,0,107
561,EalingCommon,Midday,773,273,400,34,67
561,EalingCommon,PMPeak,1727,1193,242,55,236
561,EalingCommon,Evening,974,730,192,0,51
561,EalingCommon,Late,421,165,101,23,132
561,EalingCommon,Totalday,4953,3147,1023,112,671
562,Earl'sCourt,Early,770,2,0,0,768
562,Earl'sCourt,AMpeak,6401,4799,490,166,946
562,Earl'sCourt,Midday,7499,2407,2939,1201,953
562,Earl'sCourt,PMPeak,6912,2903,2508,948,554
562,Earl'sCourt,Evening,5286,1985,1706,491,1103
562,Earl'sCourt,Late,2934,677,968,568,721
562,Earl'sCourt,Totalday,29802,12774,8610,3374,5045
563,EastActon,Early,129,1,0,0,129
563,EastActon,AMpeak,1332,1120,71,0,141
563,EastActon,Midday,1336,460,777,22,77
563,EastActon,PMPeak,1881,1321,376,6,179
563,EastActon,Evening,1177,703,233,72,170
563,EastActon,Late,704,327,247,17,113
563,EastActon,Totalday,6560,3932,1703,117,808
565,EastFinchley,Early,80,0,0,0,80
565,EastFinchley,AMpeak,1444,821,150,97,376
565,EastFinchley,Midday,1970,863,723,228,156
565,EastFinchley,PMPeak,4582,3318,921,254,89
565,EastFinchley,Evening,3034,2265,644,14,111
565,EastFinchley,Late,1368,524,362,0,483
565,EastFinchley,Totalday,12478,7791,2800,593,1294
566,EastHam,Early,266,0,0,0,265
566,EastHam,AMpeak,2151,1824,51,0,275
566,EastHam,Midday,4512,2111,1277,74,1049
566,EastHam,PMPeak,9215,3968,972,4,4272
566,EastHam,Evening,4955,2237,401,26,2292
566,EastHam,Late,2106,635,56,0,1415
566,EastHam,Totalday,23204,10774,2757,104,9569
567,EastPutney,Early,126,0,0,0,126
567,EastPutney,AMpeak,1798,1426,101,20,251
567,EastPutney,Midday,1563,764,630,50,119
567,EastPutney,PMPeak,3454,2329,1053,22,50
567,EastPutney,Evening,2302,1621,492,25,164
567,EastPutney,Late,1010,164,546,1,299
567,EastPutney,Totalday,10254,6304,2822,119,1010
564,Eastcote,Early,39,0,0,0,39
564,Eastcote,AMpeak,415,272,18,0,126
564,Eastcote,Midday,1030,492,441,52,46
564,Eastcote,PMPeak,2187,1655,396,0,137
564,Eastcote,Evening,1006,659,319,0,28
564,Eastcote,Late,287,114,47,0,125
564,Eastcote,Totalday,4963,3192,1220,52,499
